Year,Total Deposit,Demand Deposit,Saving Deposit,Time Deposit,1 Month Time Deposit,3 Month Time Deposit,6 Month Time Deposit,12 Month Time Deposit,24 Month Time Deposit,Others,Matured Deposits,Number of Account
2010,"2,304,875","504,096","738,695","1,062,084","542,497","323,790","91,176","93,488","1,609","8,822",702,"97,204,863"
2011,"2,736,415","605,085","905,700","1,225,630","609,109","373,948","123,882","94,166","5,497","18,351",677,"101,503,564"
2012,"3,163,519","710,400","1,085,743","1,367,377","596,108","425,804","170,200","153,227","3,137","18,616",285,"119,917,930"
2013,"3,578,208","797,243","1,222,029","1,558,935","758,313","428,975","188,930","132,338","30,286","15,101","4,991","147,626,510"
2014,"4,013,817","845,667","1,298,326","1,869,823","921,542","497,681","203,592","175,828","44,023","26,440",717,"160,881,757"
2015,"4,335,269","937,089","1,411,620","1,986,560","883,859","626,063","227,586","155,825","49,202","41,151","2,875","175,994,476"
2016,"4,749,400","1,065,072","1,569,943","2,114,385","958,102","570,157","240,312","200,813","45,070","28,828","71,103","199,301,222"
2017,"5,142,991","1,153,733","1,720,959","2,268,299","942,449","666,230","292,500","194,294","57,619","32,252","82,954","242,396,164"
2018,"5,457,228","1,213,887","1,847,928","2,395,414","1,016,271","737,593","269,701","165,002","37,295","26,402","143,151","275,764,037"
2019,"5,805,078","1,351,901","1,968,855","2,484,323","967,214","794,936","289,853","196,029","63,535","28,107","144,648","301,697,958"
2020,"6,465,103","1,580,036","2,196,025","2,689,041","1,122,427","844,443","290,833","201,258","46,010","30,141","153,928","350,324,950"
2021,"7,253,263","2,006,916","2,454,070","2,792,277","1,124,485","782,676","317,935","297,368","56,457","34,550","178,806","386,319,094"
2022,"7,932,190","2,429,991","2,637,474","2,864,725","1,345,756","717,528","283,170","289,237","27,126","34,411","167,497","508,546,341"
2023,"8,235,948","2,524,880","2,691,261","3,019,807","1,197,511","905,180","365,670","330,102","10,784","32,234","178,324","559,914,590"
2024,"8,572,650","2,579,530","2,868,611","3,124,509","1,155,383","1,066,480","438,111","240,173","8,672","26,555","189,135","609,218,193"